wavelength,absorption
467,0.9353148013565792
468,0.8522438953488048
469,0.8965967296511479
470,0.7676666666666248
471,0.779382509689944
472,0.6920157945736233
473,0.7073579699612031
474,0.8444333333333168
475,0.692410714285682
476,0.7638729651163271
477,0.7653726190475875
478,0.769233333333354
479,0.6825630952380793
480,0.661077380952372
481,0.9278583333333568
482,0.6544749999999738
483,0.6040324561403593
484,0.5522935185185059
485,0.9705499999999428
486,0.46497704678363216
487,0.6895571428571275
488,0.5553237816763563
489,0.8622782163742874
490,0.6332127680311646
491,0.7423022417153806
492,0.8025708089667875
493,0.6501528836754403
494,0.3964964565004731
495,0.6153715053762951
496,0.5747932306940502
497,0.46532756598238967
498,0.5422067937438827
499,0.4882900293254871
500,0.6440745845552338
501,0.633720122549023
502,0.4891617156861987
503,0.5987799999999934
